segment_type,segment,feat1,feat2,interaction,count
all,all,has_person,close_up,0.14486601826191717,43
all,all,has_person,warm_tones,0.00793542689994035,145
all,all,has_person,clean_background,-0.000679198423484657,29
all,all,has_person,packaged,-0.00012082715221123388,108
all,all,has_person,text_overlay,0.00025994805048040916,155
all,all,has_person,price_discount,-0.1944801173460803,6
all,all,has_person,brand_logo,-0.0005287014419258897,150
all,all,has_person,cta,0.029930146431902643,49
all,all,has_person,multiple_items,-0.0012837624926525769,82
all,all,has_person,main_object_drink,0.0032830000952907075,14
all,all,has_person,main_object_food,-0.001013747219562545,19
all,all,has_person,main_object_person,0.001002162728060316,151
all,all,has_person,food_type_dessert,-0.04900695292886333,31
all,all,has_person,food_type_fast_food,-0.036337310530917225,10
all,all,has_person,food_type_healthy,0.010534632451453481,5
all,all,has_person,food_type_main_dish,-0.01573046896732251,17
all,all,has_person,food_type_snack,0.002325551953769816,54
all,all,has_person,drink_type_alcohol,-0.018678995114711824,44
all,all,has_person,drink_type_soda_juice,-2.838069591036329e-05,15
all,all,has_person,drink_type_water_energy,-0.030858623295489062,16
all,all,has_person,person_who_man,-0.003220229009625553,32
all,all,has_person,person_who_multiple,0.0,79
all,all,has_person,person_who_woman,-0.00020253572513781256,39
all,all,has_person,person_emotion_positive,0.00178529948687888,135
all,all,has_person,person_action_eating,0.0,41
all,all,has_person,person_action_posing,-0.002616919613158117,40
all,all,close_up,top_down,0.0019166164646802464,50
all,all,close_up,warm_tones,-0.001380366958660287,217
all,all,close_up,clean_background,-0.002465592461914028,177
all,all,close_up,packaged,0.0061916367002694175,145
all,all,close_up,text_overlay,-0.001565983935948313,217
all,all,close_up,price_discount,-0.12173380981032807,37
all,all,close_up,brand_logo,0.0002771609637880915,224
all,all,close_up,cta,0.01882419604721599,64
all,all,close_up,multiple_items,-0.0045872492763133045,100
all,all,close_up,main_object_drink,0.001321002322671706,37
all,all,close_up,main_object_food,0.0005185395646264313,221
all,all,close_up,main_object_person,0.05601088360176832,27
all,all,close_up,food_type_dessert,0.0753219624411546,81
all,all,close_up,food_type_fast_food,0.0026877170119939293,43
all,all,close_up,food_type_healthy,0.005081211118130434,10
all,all,close_up,food_type_main_dish,-0.0038134332939920826,71
all,all,close_up,food_type_snack,-0.0015690250216194293,36
all,all,close_up,drink_type_alcohol,0.04473050012939775,29
all,all,close_up,drink_type_soda_juice,-0.0027665968609921366,16
all,all,close_up,person_who_man,0.003128791568093831,6
all,all,close_up,person_who_woman,0.003341937023562456,15
all,all,close_up,person_emotion_positive,0.027925261114362374,21
all,all,close_up,person_action_eating,0.0019610635643214466,10
all,all,close_up,person_action_posing,-0.0008667625871480384,7
all,all,top_down,warm_tones,-0.006564719497508642,51
all,all,top_down,clean_background,-0.0021183830189223586,58
all,all,top_down,packaged,0.007076462051274579,39
all,all,top_down,text_overlay,-0.0012827158970160895,49
all,all,top_down,price_discount,0.02150546519971497,8
all,all,top_down,brand_logo,0.0016993898411116774,55
all,all,top_down,cta,0.006355120312513492,22
all,all,top_down,multiple_items,-0.021582528698298055,34
all,all,top_down,main_object_drink,0.0004715568478203502,8
all,all,top_down,main_object_food,-0.0005718019959031789,64
all,all,top_down,food_type_dessert,-0.0013362098759720639,16
all,all,top_down,food_type_fast_food,-0.025947308207793736,10
all,all,top_down,food_type_healthy,0.010375612108535121,7
all,all,top_down,food_type_main_dish,-0.0024839489226042492,20
all,all,top_down,food_type_snack,0.0,9
all,all,top_down,drink_type_alcohol,-0.0010096973077983052,6
all,all,warm_tones,clean_background,-0.0004169016325935769,231
all,all,warm_tones,packaged,-0.009994129558757968,257
